"proba","source"
0.331928803114976,"random"
0.23753501783176,"random"
0.369528673649189,"random"
0.307095213610528,"random"
0.224456083959167,"random"
0.353384758306111,"random"
0.334012689031208,"random"
0.335025920985495,"random"
0.316989023574528,"random"
0.255601128050458,"random"
0.212299512214278,"random"
0.245354487731706,"random"
0.2334650206065,"random"
0.238588253715431,"random"
0.232626394006081,"random"
0.249656838722194,"random"
0.276210955408833,"random"
0.249679024966,"random"
0.301918033354392,"random"
0.257927622131992,"random"
0.292024819369917,"random"
0.2762971047755,"random"
0.221107346897028,"random"
0.330936561333543,"random"
0.211737359335928,"random"
0.332529119826169,"random"
0.342566730288686,"random"
0.315889313229183,"random"
0.317673724826403,"random"
0.310858742148861,"random"
0.270102318264056,"random"
0.238749638691961,"random"
0.295504602895694,"random"
0.256944828428267,"random"
0.23154167204136,"random"
0.340324221248521,"random"
0.31518080712667,"random"
0.232593311569722,"random"
0.310454027206114,"random"
0.375106244021322,"random"
0.209484034493971,"random"
0.250447313217083,"random"
0.210496602109972,"random"
0.282980588888611,"random"
0.25020303525,"random"
0.256746283357222,"random"
0.286294570414278,"random"
0.214305673600278,"random"
0.300783781781188,"random"
0.313176028850083,"random"
0.250968708688986,"random"
0.23005455484565,"random"
0.288204232084005,"random"
0.273786296918333,"random"
0.276449641155867,"random"
0.262937585685194,"random"
0.217838080745139,"random"
0.253940280039749,"random"
0.259251616417444,"random"
0.339758344293431,"random"
0.2608057069236,"random"
0.299331446572312,"random"
0.256079025168389,"random"
0.311381042343371,"random"
0.249056979502063,"random"
0.248289908173906,"random"
0.247694624628383,"random"
0.283349587512667,"random"
0.238542879586972,"random"
0.178404806781671,"random"
0.272551507066249,"random"
0.285171460761369,"random"
0.257235388540618,"random"
0.300322732617051,"random"
0.278152785223903,"random"
0.2587234086148,"random"
0.33677642345325,"random"
0.300763487093222,"random"
0.277897575997583,"random"
0.305040711332714,"random"
0.261370442525644,"random"
0.264921717679167,"random"
0.260272377781667,"random"
0.235570006451673,"random"
0.278464122050861,"random"
0.264037213494567,"random"
0.306949351030833,"random"
0.315993828053806,"random"
0.258001762877014,"random"
0.341723609940943,"random"
0.334242391735369,"random"
0.306128054868372,"random"
0.269362184608758,"random"
0.341553447734322,"random"
0.280925949244742,"random"
0.249453569296679,"random"
0.332404929704188,"random"
0.32599731868975,"random"
0.340636272923764,"random"
0.204334202860114,"random"
0.294829567706472,"random"
0.254726429050753,"random"
0.240652700083472,"random"
0.347836016782778,"random"
0.234004233626426,"random"
0.266169913927097,"random"
0.290029490501389,"random"
0.333882917370125,"random"
0.289468009615181,"random"
0.231923925853833,"random"
0.250246776847196,"random"
0.273608051356111,"random"
0.258819505614333,"random"
0.274663382329286,"random"
0.179617376061,"random"
0.245624819112019,"random"
0.252546741174044,"random"
0.246593147022639,"random"
0.301229977615417,"random"
0.238205136740278,"random"
0.312101298208081,"random"
0.270244467912376,"random"
0.315455883412139,"random"
0.300388144300167,"random"
0.253184101886142,"random"
0.247943977590647,"random"
0.28465026700375,"random"
0.262547969036528,"random"
0.258707274218264,"random"
0.210880383899,"random"
0.277643497417267,"random"
0.281608889402674,"random"
0.266590765942778,"random"
0.289814653966753,"random"
0.24541589367025,"random"
0.28118358377425,"random"
0.339382872758611,"random"
0.345472646661838,"random"
0.239064850716505,"random"
0.290656433916971,"random"
0.227471152735806,"random"
0.250757310573806,"random"
0.327409883330429,"random"
0.305975776239667,"random"
0.2799943776812,"random"
0.292431991218964,"random"
0.255526750905556,"random"
0.276372303225206,"random"
0.2194424769569,"random"
0.278684865434667,"random"
0.259884721038202,"random"
0.226701920303944,"random"
0.281836476113913,"random"
0.307669662966994,"random"
0.269496833263101,"random"
0.284503053660068,"random"
0.329665793566889,"random"
0.293743120782361,"random"
0.347796629715049,"random"
0.354767291178889,"random"
0.24149818757137,"random"
0.307453179616569,"random"
0.244092291465361,"random"
0.236362387948528,"random"
0.17456033528826,"random"
0.306069147133583,"random"
0.275544092650083,"random"
0.269486545359706,"random"
0.249979034747306,"random"
0.29573263849032,"random"
