"CV_fold","feature","auc","set"
1,"GiG",0.772060543285776,"Perm"
1,"GiG",0.76303919275619,"Perm"
1,"GiG",0.720204483945337,"Perm"
1,"GiG",0.682548698586655,"Perm"
1,"GiG",0.730361856393464,"Perm"
1,"GiG",0.691603461525611,"Perm"
1,"GiG",0.77657121855057,"Perm"
1,"GiG",0.744328243509639,"Perm"
1,"GiG",0.729159009656186,"Perm"
1,"GiG",0.722376290554312,"Perm"
1,"GiG",0.746099101206188,"Perm"
1,"GiG",0.759363827725617,"Perm"
1,"GiG",0.717665140833305,"Perm"
1,"GiG",0.732299776136857,"Perm"
1,"GiG",0.776537806141201,"Perm"
1,"GiG",0.723445487654115,"Perm"
1,"GiG",0.779678572621872,"Perm"
1,"GiG",0.74977446623676,"Perm"
1,"GiG",0.745196966153229,"Perm"
1,"GiG",0.701226235423837,"Perm"
1,"GiG",0.722643589829263,"Perm"
1,"GiG",0.775167897357078,"Perm"
1,"GiG",0.752982057536169,"Perm"
1,"GiG",0.736342677670487,"Perm"
1,"GiG",0.73971733101674,"Perm"
1,"GiG",0.760566674462895,"Perm"
1,"GiG",0.732734137458652,"Perm"
1,"GiG",0.761401984697117,"Perm"
1,"GiG",0.761268335059641,"Perm"
1,"GiG",0.736075378395536,"Perm"
1,"GiG",0.776103444819406,"Perm"
1,"GiG",0.724548097163286,"Perm"
1,"GiG",0.782251328143272,"Perm"
